key	IngenuityCanonicalPathways	GroupCount	AllMolecules	pathsize	M_activated_ratio	M_inhibited_ratio	M_noZ_ratio	M_notSig_ratio	J_activated_ratio	J_inhibited_ratio	J_noZ_ratio	J_notSig_ratio	M_GlobalActivated	M_GlobalInhibited	M_GlobalNoDirection	M_GlobalNotSignificant	J_GlobalActivated	J_GlobalInhibited	J_GlobalNoDirection	J_GlobalNotSignificant	activeTissue	inactiveTissue	clustersGlobal	subclusters
X1	14-3-3-mediated Signaling	14	AKT1,AKT1S1,AKT2,AKT3,BAD,BAX,CBL,CDKN1B,EDC3,ELK1,FOS,FOXO1,GFAP,GRB2,GSK3A,GSK3B,H2BW2,HRAS,JUN,KRAS,MAP2K1,MAP2K2,MAP2K4,MAP3K5,MAPK1,MAPK10,MAPK3,MAPK8,MAPK9,MAPT,MRAS,NOTUM,NRAS,PDCD6IP,PDIA3,PIK3C2A,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R4,PIK3R5,PIK3R6,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCG1,PLCG2,PLCH1,PLCH2,PLCL1,PLCL2,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD3,RAF1,RALA,RALB,RAP1A,RAP1B,RAP2A,RAP2B,RASD1,RASD2,RPS6KA1,RRAS,RRAS2,SFN,SNCA,SRC,SRPK2,STK11,STRADA,TNF,TNFRSF1A,TP73,TRAF2,TSC1,TSC2,TUBA1A,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBA8,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBG1,VIM,YAP1,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ	121	0	0.0555555555555556	0.0555555555555556	0.388888888888889	0.152173913043478	0.0652173913043478	0.0434782608695652	0.239130434782609	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.1
X10	ATM Signaling	17	ABL1,ATF1,ATF2,ATF4,ATM,ATR,BID,BLM,BRAT1,BRCA1,CBX1,CBX3,CBX5,CCNB1,CCNB2,CCNB3,CDC25A,CDC25C,CDK1,CDK2,CDKN1A,CHEK1,CHEK2,CREB1,CREB3,CREB3L4,CREB5,CREBBP,FANCD2,GADD45A,GADD45B,GADD45G,H2AX,H4C11,HERC2,HP1BP3,JUN,KAT5,MAP2K4,MAPK10,MAPK11,MAPK13,MAPK14,MAPK8,MAPK9,MDC1,MDM2,MDM4,MRE11,NBN,NFKBIA,PPM1D,PPM1J,PPM1L,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R3B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PTPA,RAD17,RAD50,RAD51,RAD9A,RBBP8,RNF168,SMC1A,SMC2,SMC3,SUV39H1,TDP1,TLK1,TLK2,TOPBP1,TP53,TP53BP1,TP73,TRIM28,TRRAP,USP7,ZEB1,ZNF420	92	0.0555555555555556	0.0555555555555556	0.111111111111111	0.277777777777778	0.173913043478261	0.0869565217391304	0.0217391304347826	0.217391304347826	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.3
X100	Caveolar-mediated Endocytosis Signaling	16	ABL1,ACTA1,ACTA2,ACTB,ACTC1,ACTG1,ACTG2,ALB,ARCN1,B2M,CAV1,CAVIN1,CD48,CD55,COPA,COPB1,COPB2,COPE,COPG1,COPG2,COPZ1,DNM2,DYRK3,EGF,EGFR,FLNA,FLNB,FLNC,FLOT1,FLOT2,FYN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,INS,INSR,ITGA1,ITGA10,ITGA11,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAE,ITGAL,ITGAM,ITGAV,ITGAX,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,ITSN1,MAP3K2,MR1,PRKCA,PTPN1,RAB5A,RAB5B,RAB5C,SRC	72	0	0	0	0.5	0	0	0.347826086956522	0.152173913043478	0	0	0	0.5	0	0	0.5	0	no_direction	not_sig	1	1.4
X101	Cell Cycle Control of Chromosomal Replication	11	CDC45,CDC6,CDC7,CDK1,CDK10,CDK11A,CDK11B,CDK12,CDK13,CDK14,CDK15,CDK16,CDK17,CDK18,CDK19,CDK2,CDK20,CDK3,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDT1,CHEK2,DBF4,DNA2,LIG1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MCM9,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,PCNA,POLA1,POLA2,POLD1,POLE,PRIM1,PRIM2,RPA1,RPA2,RPA3,RPA4,TOP2A,TOP2B	56	0.111111111111111	0	0.0555555555555556	0.333333333333333	0.152173913043478	0.0217391304347826	0	0.326086956521739	0.5	0	0	0	0.5	0	0	0	activated	activated	2	2.2
X102	Cell Cycle Regulation by BTG Family Proteins	9	BTG1,BTG2,CCND1,CCNE1,CCNE2,CDK2,CDK4,CNOT7,E2F1,E2F2,E2F3,E2F4,E2F5,E2F7,E2F8,HOXB9,NOCT,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R3B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRMT1,PTPA,RB1	36	0	0	0.111111111111111	0.388888888888889	0.0869565217391304	0.0652173913043478	0	0.347826086956522	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.3
X103	Cell Cycle: G1/S Checkpoint Regulation	14	ABL1,ATM,ATR,BMI1,BTRC,CCND1,CCND2,CCND3,CCNE1,CCNE2,CDC25A,CDC34,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CUL1,E2F1,E2F2,E2F3,E2F4,E2F5,E2F7,E2F8,FBXL5,FOXO1,GNL3,GSK3B,HDAC1,HDAC10,HDAC11,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,MAX,MDM2,MYC,NRG1,PA2G4,PAK1IP1,RB1,RBL1,RBL2,RPL11,RPL5,SIN3A,SKP1,SKP2,SMAD3,SMAD4,SUV39H1,TFDP1,TGFB1,TGFB2,TGFB3,TP53	66	0	0.166666666666667	0.0555555555555556	0.277777777777778	0.0652173913043478	0.130434782608696	0.0217391304347826	0.282608695652174	0	0.5	0	0	0	0.5	0	0	inhibited	inhibited	1	1.3
X104	Cell Cycle: G2/M DNA Damage Checkpoint Regulation	14	ABL1,ATM,ATR,AURKA,BORA,BRCA1,BTRC,CCNB1,CCNB2,CCNB3,CDC25B,CDC25C,CDC34,CDK1,CDK7,CDKN1A,CDKN2A,CHEK1,CHEK2,CKS1B,CKS2,CUL1,EP300,FBXL5,GADD45A,HIPK2,KAT2B,MDM2,MDM4,PKMYT1,PLK1,PPM1D,PRKDC,PTPMT1,RPRM,RPS6KA1,SFN,SKP1,SKP2,TOP2A,TOP2B,TP53,TRIP12,WEE1,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ	50	0.0555555555555556	0.111111111111111	0	0.333333333333333	0.0869565217391304	0.152173913043478	0	0.260869565217391	0	0.5	0	0	0	0.5	0	0	inhibited	inhibited	1	1.3
X105	Cellular Effects of Sildenafil (Viagra)	6	ACTA2,ACTB,ACTC1,ACTG1,ACTG2,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CACNA1A,CACNA1B,CACNA1C,CACNA1D,CACNA1E,CACNA1F,CACNA1S,CACNA2D1,CACNA2D2,CACNA2D3,CACNA2D4,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,CACNG2,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CALML5,CAMK4,GPR37,GUCY1A1,GUCY1A2,GUCY1B1,GUCY2C,GUCY2F,ITPR1,ITPR2,ITPR3,KCNH2,KCNN1,KCNN2,KCNN3,KCNN4,KCNQ2,MPRIP,MYH10,MYH11,MYH13,MYH14,MYH3,MYH7,MYH7B,MYH8,MYH9,MYL1,MYL12A,MYL12B,MYL3,MYL4,MYL5,MYL6,MYL6B,MYL9,MYLK,MYLPF,MYO10,MYO18A,MYO1A,MYO5C,NOS3,NOTUM,NPPA,NPR1,NPR2,PABPC4,PDE1A,PDE1C,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE4C,PDE4D,PDIA3,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCE1,PLCG1,PLCG2,PLCH1,PLCL2,PPP1CB,PPP1R12A,PPP1R12B,PRKACA,PRKACB,PRKAG1,PRKAG2,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKG2,SLC4A10,SLC4A11,SLC4A5	120	0	0	0.111111111111111	0.388888888888889	0	0	0.0869565217391304	0.41304347826087	0	0	0.5	0	0	0	0.5	0	no_direction	no_direction	1	1.7
X106	Ceramide Biosynthesis	1	KDSR,SPTLC2,SPTLC3,SPTSSA	4	0	0.0555555555555556	0	0.444444444444444	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	not_sig	inhibited	2	2.2
X107	Ceramide Signaling	18	AKT1,AKT2,AKT3,BAD,BCL2,CERK,CNKSR1,CTSD,CYCS,DIABLO,ENPP7,FOS,HRAS,JUN,KRAS,KSR1,MAP2K1,MAP2K4,MAP3K1,MAPK3,MAPK8,MRAS,NFKB1,NFKB2,NGFR,NRAS,NSMAF,PIK3C2A,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R4,PIK3R5,PIK3R6,PPM1J,PPM1L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R3B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRKCZ,PTPA,RAF1,RALA,RALB,RAP1A,RAP1B,RAP2A,RAP2B,RASD1,RASD2,REL,RELA,RELB,RRAS,RRAS2,S1PR1,S1PR2,S1PR3,S1PR4,S1PR5,SMPD1,SMPD2,SMPD3,SMPD4,SPHK1,SPHK2,TNF,TNFRSF11B,TNFRSF1A,TNFRSF1B	88	0.0555555555555556	0.111111111111111	0.111111111111111	0.222222222222222	0.173913043478261	0.0869565217391304	0.0217391304347826	0.217391304347826	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.3
