key	IngenuityCanonicalPathways	GroupCount	AllMolecules	pathsize	M_activated_ratio	M_inhibited_ratio	M_noZ_ratio	M_notSig_ratio	J_activated_ratio	J_inhibited_ratio	J_noZ_ratio	J_notSig_ratio	M_GlobalActivated	M_GlobalInhibited	M_GlobalNoDirection	M_GlobalNotSignificant	J_GlobalActivated	J_GlobalInhibited	J_GlobalNoDirection	J_GlobalNotSignificant	activeTissue	inactiveTissue	clustersGlobal	subclusters
X1	14-3-3-mediated Signaling	4	AKT1,AKT1S1,AKT2,BAD,CBL,FOXO1,GRB2,GSK3A,HRAS,KRAS,MAP2K1,MAP2K2,MAP3K5,MAPK3,MAPK8,NRAS,PDIA3,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PLCB4,PLCG2,PLCL2,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKD3,RAF1,RALA,RAP2A,RAP2B,RASD1,RPS6KA1,RRAS,RRAS2,SFN,SNCA,SRPK2,STK11,TNF,TNFRSF1A,TRAF2,TSC1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB2A,TUBB4B,TUBB6,YWHAE,YWHAG,YWHAQ	58	0.0416666666666667	0.0833333333333333	0	0.375	0.0833333333333333	0	0	0.416666666666667	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.1
X10	Actin Cytoskeleton Signaling	1	ACTA2,ACTN1,APC,ARHGAP24,ARHGEF6,ARPC1A,DIAPH1,F2R,GNA13,GRB2,GSN,HRAS,ITGA5,ITGAL,ITGB1,ITGB2,KRAS,LBP,MAP2K1,MAP2K2,MYL6,MYLPF,NRAS,PAK1,PIK3C3,PIK3CB,RAF1,RAP2A,RAP2B,RDX,RRAS,SOS1,SSH2,TTN,VAV1	35	0	0	0	0.5	0.0833333333333333	0	0	0.416666666666667	0	0	0	0.5	0.5	0	0	0	activated	not_sig	1	1.3
X100	D-myo-inositol (1,4,5)-trisphosphate Degradation	4	IMPA1,IMPA2,INPP1,INPP5A,INPP5D,INPP5K,SYNJ1	7	0	0	0	0.5	0.333333333333333	0	0	0.166666666666667	0	0	0	0.5	0.5	0	0	0	activated	not_sig	2	2.1
X101	D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4	ACP1,ATP1A1,CDC25A,DOT1L,DUSP10,DUSP11,DUSP16,DUSP5,HACD2,IGBP1,INPP5F,IPMK,MDP1,MTMR2,MTMR6,NOCT,NUDT14,NUDT5,NUDT9,PIKFYVE,PPFIA1,PPFIBP2,PPP1R14B,PPP1R16B,PPP1R7,PPP1R8,PPP2R3A,PPP2R5D,PPP2R5E,PPP4R1,PPP5C,PTPN11,PTPN12,PTPN2,PTPN23,PTPN7,PTPRF,Ppp1cc,Ppp2r3d,RASA1,RNGTT,SACM1L,SIRPA,SYNJ1,UBLCP1,WBP11	46	0	0.125	0	0.375	0.0833333333333333	0	0	0.416666666666667	0	0.5	0	0	0.5	0	0	0	activated	inhibited	2	2.2
X102	D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4	ACP1,ATP1A1,CDC25A,DOT1L,DUSP10,DUSP11,DUSP16,DUSP5,HACD2,IGBP1,INPP5F,IPMK,MDP1,MTMR2,MTMR6,NOCT,NUDT14,NUDT5,NUDT9,PIKFYVE,PPFIA1,PPFIBP2,PPP1R14B,PPP1R16B,PPP1R7,PPP1R8,PPP2R3A,PPP2R5D,PPP2R5E,PPP4R1,PPP5C,PTPN11,PTPN12,PTPN2,PTPN23,PTPN7,PTPRF,Ppp1cc,Ppp2r3d,RASA1,RNGTT,SACM1L,SIRPA,SYNJ1,UBLCP1,WBP11	46	0	0.125	0	0.375	0.0833333333333333	0	0	0.416666666666667	0	0.5	0	0	0.5	0	0	0	activated	inhibited	2	2.2
X103	DNA Double-Strand Break Repair by Homologous Recombination	1	ATM,POLA1,RPA1	3	0	0	0.0416666666666667	0.458333333333333	0	0	0	0.5	0	0	0.5	0	0	0	0	0.5	not_sig	no_direction	2	2.4
X104	DNA damage-induced 14-3-3σ Signaling	10	AKT1,AKT2,ATM,ATR,CCNB2,CCNE1,CCNE2,CDK1,CDK2,RAD17,RAD9A,SFN,TP53	13	0	0	0.333333333333333	0.166666666666667	0	0	0.166666666666667	0.333333333333333	0	0	0.5	0	0	0	0.5	0	no_direction	no_direction	2	2.5
X105	Death Receptor Signaling	8	ACTA1,ACTA2,APAF1,ARHGDIB,BCL2,BID,BIRC2,BIRC3,CASP3,CASP6,CASP8,CFLAR,CHUK,CYCS,DAXX,DIABLO,FAS,HSPB1,HTRA2,IKBKB,LMNA,MAP2K4,MAP3K14,MAP3K5,MAPK8,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,PARP1,PARP14,PARP2,PARP3,PARP4,PARP9,RELA,ROCK1,SPTAN1,TANK,TBK1,TNF,TNFRSF1A,TNFRSF1B,TNKS,TNKS2,TRAF2	47	0.0833333333333333	0.0833333333333333	0	0.333333333333333	0.333333333333333	0	0	0.166666666666667	0	0	0.5	0	0.5	0	0	0	activated	no_direction	2	2.3
X106	Dendritic Cell Maturation	4	AKT1,AKT2,ATF2,B2M,CD83,CD86,CHUK,COL18A1,COL1A1,COL1A2,COL3A1,COL5A3,DDR2,FCGR2A,FSCN1,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DQA1,HLA-DQB1,HLA-DRB5,HLA-F,ICAM1,IGHG1,IKBKB,IL1B,IL1RN,IL36G,IL6,IRF8,JAK2,LTB,MAP3K14,MAPK13,MAPK14,MAPK3,MAPK8,MYD88,NFKB1,NFKB2,NFKBIE,PDIA3,PIK3C2A,PIK3C3,PIK3CB,PIK3R1,PIK3R5,PLCB4,PLCL2,RELA,RELB,STAT1,STAT2,STAT4,TLR2,TNF,TNFRSF1A,TNFRSF1B,TRAF6,TYROBP	61	0.0416666666666667	0.0416666666666667	0	0.416666666666667	0.166666666666667	0	0	0.333333333333333	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.2
X107	Docosahexaenoic Acid (DHA) Signaling	10	AKT1,AKT2,APAF1,APP,BAD,BCL2,BCL2A1,BCL2L1,BID,CASP3,CYCS,FOXO1,GSK3A,IL1B,PDPK1,PIK3C2A,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PNPLA2,SERPINF1	24	0	0	0.25	0.25	0	0	0.333333333333333	0.166666666666667	0	0	0.5	0	0	0	0.5	0	no_direction	no_direction	1	1.2
