disease	IngenuityCanonicalPathways	logpvalue
AD_inflamed	14-3-3-mediated Signaling	0.000297365632901392
AD_inflamed	3-phosphoinositide Biosynthesis	6.20814494832755e-05
AD_inflamed	3-phosphoinositide Degradation	0.000273359794987882
AD_inflamed	4-1BB Signaling in T Lymphocytes	0.00430947386835923
AD_inflamed	4-aminobutyrate Degradation I	0.00507013158619862
AD_inflamed	AMPK Signaling	6.47937437037172e-09
AD_inflamed	ATM Signaling	2.62428323516417e-09
AD_inflamed	Actin Cytoskeleton Signaling	1.45007700832478e-05
AD_inflamed	Actin Nucleation by ARP-WASP Complex	0.00034450656794982
AD_inflamed	Activation of IRF by Cytosolic Pattern Recognition Receptors	0.0204173794466953
AD_inflamed	Acute Myeloid Leukemia Signaling	0.000452532212160239
AD_inflamed	Acute Phase Response Signaling	0.000619343748503143
AD_inflamed	Adenine and Adenosine Salvage I	0.0144543977074593
AD_inflamed	Adipogenesis pathway	3.27889308593399e-07
AD_inflamed	Adrenomedullin signaling pathway	3.09029543251738e-05
AD_inflamed	Aldosterone Signaling in Epithelial Cells	0.000588843655355609
AD_inflamed	Amyloid Processing	2.34422881532081e-05
AD_inflamed	Androgen Signaling	0.0051286138399137
AD_inflamed	Angiopoietin Signaling	1.63916334672276e-06
AD_inflamed	Antioxidant Action of Vitamin C	0.00691830970918939
AD_inflamed	Antiproliferative Role of Somatostatin Receptor 2	0.00114815362149689
AD_inflamed	Apelin Cardiac Fibroblast Signaling Pathway	0.0269153480392691
AD_inflamed	Apelin Cardiomyocyte Signaling Pathway	0.00478630092322641
AD_inflamed	Apelin Endothelial Signaling Pathway	0.000575439937337108
AD_inflamed	Apelin Muscle Signaling Pathway	0.000707945784384156
AD_inflamed	Apoptosis Signaling	5.70404300459515e-08
AD_inflamed	April Mediated Signaling	0.0331131121482591
AD_inflamed	Arginine Biosynthesis IV	0.0338844156139202
AD_inflamed	Aryl Hydrocarbon Receptor Signaling	1.85905851601831e-07
AD_inflamed	Assembly of RNA Polymerase II Complex	0.0102329299228076
AD_inflamed	Atherosclerosis Signaling	0.00575439937337152
AD_inflamed	Autophagy	4.44089209850063e-16
AD_inflamed	Axonal Guidance Signaling	1.0380395432108e-09
AD_inflamed	B Cell Activating Factor Signaling	0.0407380277804112
AD_inflamed	BER (Base Excision Repair) Pathway	3.13896126757918e-07
AD_inflamed	BEX2 Signaling Pathway	2.04395917218214e-05
AD_inflamed	BMP signaling pathway	0.00707945784384134
AD_inflamed	Basal Cell Carcinoma Signaling	0.00141253754462278
AD_inflamed	Bladder Cancer Signaling	0.00630957344480199
AD_inflamed	Branched-chain α-keto acid Dehydrogenase Complex	0.0467735141287198
AD_inflamed	CCR3 Signaling in Eosinophils	0.0151356124843621
AD_inflamed	CD27 Signaling in Lymphocytes	0.00017782794100385
AD_inflamed	CD40 Signaling	0.000199255924592134
AD_inflamed	CDK5 Signaling	0.00439804534013355
AD_inflamed	CDP-diacylglycerol Biosynthesis I	0.000316227766016808
AD_inflamed	CNTF Signaling	2.17260855850387e-06
AD_inflamed	CSDE1 Signaling Pathway	0.00316227766016841
AD_inflamed	CXCR4 Signaling	7.68000517326062e-05
AD_inflamed	Cardiac Hypertrophy Signaling	9.90973356709279e-05
AD_inflamed	Cardiac Hypertrophy Signaling (Enhanced)	8.36214487542897e-07
AD_inflamed	Cardiac β-adrenergic Signaling	0.00489778819368447
AD_inflamed	Cell Cycle Control of Chromosomal Replication	0.000119937300823381
AD_inflamed	Cell Cycle Regulation by BTG Family Proteins	8.01355741690823e-05
AD_inflamed	Cell Cycle: G1/S Checkpoint Regulation	4.05298285818256e-05
AD_inflamed	Cell Cycle: G2/M DNA Damage Checkpoint Regulation	5.38685139905848e-06
AD_inflamed	Ceramide Signaling	0.000747288323493356
AD_inflamed	Cholecystokinin/Gastrin-mediated Signaling	0.000462113164256817
AD_inflamed	Cholesterol Biosynthesis I	0.0446683592150963
AD_inflamed	Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	0.0446683592150963
AD_inflamed	Cholesterol Biosynthesis III (via Desmosterol)	0.0446683592150963
AD_inflamed	Choline Biosynthesis III	0.00633498348863037
AD_inflamed	Chronic Myeloid Leukemia Signaling	1.28184346470661e-08
AD_inflamed	Clathrin-mediated Endocytosis Signaling	1.47070495937207e-06
AD_inflamed	Coenzyme A Biosynthesis	0.0144543977074593
AD_inflamed	Colorectal Cancer Metastasis Signaling	2.19958362634998e-09
AD_inflamed	Coronavirus Pathogenesis Pathway	3.58983731629792e-10
AD_inflamed	Coronavirus Replication Pathway	0.0331131121482591
AD_inflamed	Cyclins and Cell Cycle Regulation	8.54590338716932e-07
AD_inflamed	D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	0.0204173794466953
AD_inflamed	D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	0.0141253754462275
AD_inflamed	D-myo-inositol (1,4,5)-trisphosphate Degradation	0.0363078054770101
AD_inflamed	D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	0.000262087546713974
AD_inflamed	D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	0.000262087546713974
AD_inflamed	D-myo-inositol-5-phosphate Metabolism	6.40137763130433e-06
AD_inflamed	DNA Double-Strand Break Repair by Non-Homologous End Joining	0.0234422881531993
AD_inflamed	DNA damage-induced 14-3-3σ Signaling	9.86144288450674e-08
AD_inflamed	Death Receptor Signaling	6.09250427885399e-11
AD_inflamed	Docosahexaenoic Acid (DHA) Signaling	0.000154629615551016
AD_inflamed	Dopamine-DARPP32 Feedback in cAMP Signaling	0.0213796208950223
AD_inflamed	EGF Signaling	0.000382641639353976
AD_inflamed	EIF2 Signaling	6.30961949354969e-12
AD_inflamed	ERB2-ERBB3 Signaling	0.000581714901188635
AD_inflamed	ERBB Signaling	0.002454708915685
AD_inflamed	ERBB4 Signaling	0.00776247116628692
AD_inflamed	ERK/MAPK Signaling	4.15736733150318e-06
AD_inflamed	ERK5 Signaling	1.45007700832478e-05
AD_inflamed	Endocannabinoid Cancer Inhibition Pathway	8.84343632823192e-06
AD_inflamed	Endocannabinoid Developing Neuron Pathway	0.000933254300796937
AD_inflamed	Endocannabinoid Neuronal Synapse Pathway	0.0213796208950223
