disease	IngenuityCanonicalPathways	pvalue
AD_inflamed	1,25-dihydroxyvitamin D3 Biosynthesis	0.279254384123734
AD_inflamed	14-3-3-mediated Signaling	0.000297365632901392
AD_inflamed	1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0.121334691220975
AD_inflamed	1D-myo-inositol Hexakisphosphate Biosynthesis V (from Ins(1,3,4)P3)	0.279254384123734
AD_inflamed	2-ketoglutarate Dehydrogenase Complex	0.13859715200455
AD_inflamed	2-oxobutanoate Degradation I	0.106467080687854
AD_inflamed	3-phosphoinositide Biosynthesis	6.20814494832755e-05
AD_inflamed	3-phosphoinositide Degradation	0.000273359794987882
AD_inflamed	4-1BB Signaling in T Lymphocytes	0.00430947386835923
AD_inflamed	4-aminobutyrate Degradation I	0.00507013158619862
AD_inflamed	4-hydroxyproline Degradation I	0.590253637139155
AD_inflamed	5-aminoimidazole Ribonucleotide Biosynthesis I	0.173845228906916
AD_inflamed	AMPK Signaling	6.47937437037172e-09
AD_inflamed	ATM Signaling	2.62428323516417e-09
AD_inflamed	Acetate Conversion to Acetyl-CoA	0.13859715200455
AD_inflamed	Acetone Degradation I (to Methylglyoxal)	1
AD_inflamed	Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	0.809152621878477
AD_inflamed	Actin Cytoskeleton Signaling	1.45007700832478e-05
AD_inflamed	Actin Nucleation by ARP-WASP Complex	0.00034450656794982
AD_inflamed	Activation of IRF by Cytosolic Pattern Recognition Receptors	0.0313716391279171
AD_inflamed	Acute Myeloid Leukemia Signaling	0.000452532212160239
AD_inflamed	Acute Phase Response Signaling	0.000619343748503143
AD_inflamed	Acyl Carrier Protein Metabolism	0.348337315036012
AD_inflamed	Acyl-CoA Hydrolysis	0.6962681555951
AD_inflamed	Adenine and Adenosine Salvage I	0.0262869570106642
AD_inflamed	Adenine and Adenosine Salvage III	0.34537584570086
AD_inflamed	Adenosine Nucleotides Degradation II	0.298210487531522
AD_inflamed	Adipogenesis pathway	3.27889308593399e-07
AD_inflamed	Adrenomedullin signaling pathway	2.64301158307001e-05
AD_inflamed	Agranulocyte Adhesion and Diapedesis	0.372571495503226
AD_inflamed	Agrin Interactions at Neuromuscular Junction	0.0754126382149988
AD_inflamed	Airway Inflammation in Asthma	1
AD_inflamed	Airway Pathology in Chronic Obstructive Pulmonary Disease	1
AD_inflamed	Alanine Biosynthesis II	0.575439937337157
AD_inflamed	Alanine Biosynthesis III	0.29384991797373
AD_inflamed	Alanine Degradation III	0.575439937337157
AD_inflamed	Aldosterone Signaling in Epithelial Cells	0.00052396438398894
AD_inflamed	All-trans-decaprenyl Diphosphate Biosynthesis	0.121059813355048
AD_inflamed	Allograft Rejection Signaling	1
AD_inflamed	Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	1
AD_inflamed	Amyloid Processing	2.64301158307001e-05
AD_inflamed	Amyotrophic Lateral Sclerosis Signaling	0.222981415455878
AD_inflamed	Anandamide Degradation	0.450437434362007
AD_inflamed	Androgen Biosynthesis	0.262604196452214
AD_inflamed	Androgen Signaling	0.00323898037555392
AD_inflamed	Angiopoietin Signaling	1.63916334672276e-06
AD_inflamed	Antigen Presentation Pathway	0.671093158556544
AD_inflamed	Antioxidant Action of Vitamin C	0.00439804534013355
AD_inflamed	Antiproliferative Role of Somatostatin Receptor 2	0.00129071260615077
AD_inflamed	Antiproliferative Role of TOB in T Cell Signaling	1
AD_inflamed	Apelin Adipocyte Signaling Pathway	0.71653417108198
AD_inflamed	Apelin Cardiac Fibroblast Signaling Pathway	0.0715737329432777
AD_inflamed	Apelin Cardiomyocyte Signaling Pathway	0.00263922084348855
AD_inflamed	Apelin Endothelial Signaling Pathway	0.000535041324932206
AD_inflamed	Apelin Liver Signaling Pathway	0.623223918094303
AD_inflamed	Apelin Muscle Signaling Pathway	0.00248165666668909
AD_inflamed	Apelin Pancreas Signaling Pathway	0.0852443940839461
AD_inflamed	Apoptosis Signaling	5.70404300459515e-08
AD_inflamed	April Mediated Signaling	0.0141168858253047
AD_inflamed	Arginine Biosynthesis IV	0.0338844156139202
AD_inflamed	Arginine Degradation I (Arginase Pathway)	0.348686446097346
AD_inflamed	Arginine Degradation VI (Arginase 2 Pathway)	1
AD_inflamed	Arsenate Detoxification I (Glutaredoxin)	0.52260682792203
AD_inflamed	Aryl Hydrocarbon Receptor Signaling	1.85905851601831e-07
AD_inflamed	Ascorbate Recycling (Cytosolic)	0.432545884683089
AD_inflamed	Aspartate Biosynthesis	0.889022263422183
AD_inflamed	Aspartate Degradation II	1
AD_inflamed	Assembly of RNA Polymerase I Complex	0.164923055290127
AD_inflamed	Assembly of RNA Polymerase II Complex	0.0185458698800316
AD_inflamed	Assembly of RNA Polymerase III Complex	0.226039758912216
AD_inflamed	Atherosclerosis Signaling	0.00542100155139746
AD_inflamed	Autoimmune Thyroid Disease Signaling	1
AD_inflamed	Autophagy	4.44089209850063e-16
AD_inflamed	Axonal Guidance Signaling	1.0380395432108e-09
AD_inflamed	B Cell Activating Factor Signaling	0.0205432651690597
AD_inflamed	B Cell Development	1
AD_inflamed	B Cell Receptor Signaling	1
AD_inflamed	BAG2 Signaling Pathway	0.0984153568875487
AD_inflamed	BER (Base Excision Repair) Pathway	3.13896126757918e-07
AD_inflamed	BEX2 Signaling Pathway	2.04395917218214e-05
AD_inflamed	BMP signaling pathway	0.00645121155643125
AD_inflamed	Basal Cell Carcinoma Signaling	0.00518453683888065
AD_inflamed	Bile Acid Biosynthesis, Neutral Pathway	0.63384059089853
AD_inflamed	Biotin-carboxyl Carrier Protein Assembly	0.279254384123734
AD_inflamed	Bladder Cancer Signaling	0.0185824392913767
AD_inflamed	Branched-chain α-keto acid Dehydrogenase Complex	0.0991396560208788
AD_inflamed	Breast Cancer Regulation by Stathmin1	1
AD_inflamed	Bupropion Degradation	1
AD_inflamed	CCR3 Signaling in Eosinophils	0.00744441354698977
AD_inflamed	CCR5 Signaling in Macrophages	1
AD_inflamed	CD27 Signaling in Lymphocytes	0.000145120344222316
AD_inflamed	CD28 Signaling in T Helper Cells	1
AD_inflamed	CD40 Signaling	0.000199255924592134
AD_inflamed	CDC42 Signaling	1
AD_inflamed	CDK5 Signaling	0.00439804534013355
AD_inflamed	CDP-diacylglycerol Biosynthesis I	0.000240907193605366
AD_inflamed	CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)	0.0924555916584539
AD_inflamed	CNTF Signaling	2.17260855850387e-06
AD_inflamed	CREB Signaling in Neurons	1
AD_inflamed	CSDE1 Signaling Pathway	0.00638638471548092
AD_inflamed	CTLA4 Signaling in Cytotoxic T Lymphocytes	1
AD_inflamed	CXCR4 Signaling	7.68000517326062e-05
AD_inflamed	Calcium Signaling	0.741090584495308
AD_inflamed	Calcium Transport I	0.549721745520451
AD_inflamed	Calcium-induced T Lymphocyte Apoptosis	1
AD_inflamed	Cancer Drug Resistance By Drug Efflux	0.123322716800429
AD_inflamed	Cardiac Hypertrophy Signaling	9.90973356709279e-05
AD_inflamed	Cardiac Hypertrophy Signaling (Enhanced)	8.36214487542897e-07
AD_inflamed	Cardiac β-adrenergic Signaling	0.0100200243512207
