IngenuityCanonicalPathways,GroupCount,key,AllMolecules,pathsize,M_activated_ratio,M_inhibited_ratio,M_noZ_ratio,M_notSig_ratio,J_activated_ratio,J_inhibited_ratio,J_noZ_ratio,J_notSig_ratio,M_GlobalActivated,M_GlobalInhibited,M_GlobalNoDirection,M_GlobalNotSignificant,J_GlobalActivated,J_GlobalInhibited,J_GlobalNoDirection,J_GlobalNotSignificant,activeTissue,inactiveTissue
"14-3-3-mediated Signaling",4,X1,"AKT1,AKT1S1,AKT2,BAD,CBL,FOXO1,GRB2,GSK3A,HRAS,KRAS,MAP2K1,MAP2K2,MAP3K5,MAPK3,MAPK8,NRAS,PDIA3,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PLCB4,PLCG2,PLCL2,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKD3,RAF1,RALA,RAP2A,RAP2B,RASD1,RPS6KA1,RRAS,RRAS2,SFN,SNCA,SRPK2,STK11,TNF,TNFRSF1A,TRAF2,TSC1,TUBA1A,TUBA1B,TUBA1C,TUBA4A,TUBB2A,TUBB4B,TUBB6,YWHAE,YWHAG,YWHAQ",58,0.0416666666666667,0.0833333333333333,0,0.375,0.0833333333333333,0,0,0.416666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)",1,X2,"INPP5A,INPP5D,INPP5K,ITPKB,SYNJ1",5,0,0,0,0.5,0.0833333333333333,0,0,0.416666666666667,0,0,0,0.5,0.5,0,0,0,activated,not_sig
"3-phosphoinositide Biosynthesis",6,X3,"ACP1,ATP1A1,CDC25A,CDIPT,DOT1L,DUSP10,DUSP11,DUSP16,DUSP5,HACD2,IGBP1,ILKAP,INPP5F,MDP1,MTMR2,MTMR6,NOCT,NUDT14,NUDT5,NUDT9,PI4K2A,PI4K2B,PI4KA,PI4KB,PIK3C3,PIK3CB,PIK3CD,PIK3R5,PIKFYVE,PIP4K2C,PIP5K1A,PIP5K1C,PPFIA1,PPFIBP2,PPP1R14B,PPP1R16B,PPP1R7,PPP1R8,PPP2R3A,PPP2R5D,PPP2R5E,PPP4R1,PPP5C,PTPA,PTPN11,PTPN12,PTPN2,PTPN23,PTPN7,PTPRF,Ppp1cc,Ppp2r3d,RASA1,RNGTT,SACM1L,SIRPA,SYNJ1,UBLCP1,WBP11",59,0.125,0.0833333333333333,0,0.291666666666667,0.0833333333333333,0,0,0.416666666666667,0.5,0,0,0,0.5,0,0,0,activated,activated
"3-phosphoinositide Degradation",4,X4,"ACP1,ATP1A1,CDC25A,DOT1L,DUSP10,DUSP16,HACD2,IGBP1,INPP4B,INPP5D,INPP5K,MDP1,MTMR1,MTMR14,MTMR2,MTMR3,NOCT,NUDT14,NUDT5,NUDT9,PIKFYVE,PPFIA1,PPFIBP2,PPP1R12C,PPP1R16B,PPP1R7,PPP1R8,PPP2R3A,PPP2R5D,PPP2R5E,PPP4R1,PPP5C,PPTC7,PTPA,PTPN11,PTPN12,PTPN2,PTPN23,PTPN7,PTPRF,PTPRJ,Ppp1cc,Ppp2r3d,RASA1,SACM1L,SIRPA,SYNJ1,UBLCP1,WBP11",49,0,0.0416666666666667,0,0.458333333333333,0.25,0,0,0.25,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"4-1BB Signaling in T Lymphocytes",7,X5,"ATF2,CHUK,IKBKB,MAP2K1,MAP2K2,MAP2K4,MAP3K14,MAP3K5,MAPK13,MAPK14,MAPK3,MAPK8,NFKB1,NFKB2,NFKBID,NFKBIE,RELA,TRAF1,TRAF2",19,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.375,0.333333333333333,0,0,0.166666666666667,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"5-aminoimidazole Ribonucleotide Biosynthesis I",2,X6,"GART,PPAT",2,0,0,0.0416666666666667,0.458333333333333,0,0,0.0833333333333333,0.416666666666667,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"AMPK Signaling",7,X7,"ADRB2,AK2,AK3,AK6,AKT1,AKT1S1,AKT2,ARID2,ATF2,BRD7,CCNA2,CCND1,CPT1A,CREB1,CREBBP,CRTC2,EEF2,EIF4EBP1,ELAVL1,EP300,FASN,FOXO1,FOXO3,FOXO4,HLTF,ILKAP,IRS2,KAT2B,MAPK13,MAPK14,MLYCD,MTOR,PBRM1,PCK2,PFKFB3,PFKL,PFKP,PHF10,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PPAT,PPM1A,PPM1B,PPM1D,PPM1G,PPM1M,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PRKAA1,PRKACB,PRKAG1,PRKAR2A,PTPA,RAB1A,RAB27A,RAB2A,RAB8A,RPS6KB1,SIRT1,SLC2A1,SMARCA2,SMARCA4,SMARCB1,SMARCC2,SMARCD2,SMARCE1,STK11,TBC1D1,TSC1,ULK1",77,0.0833333333333333,0.166666666666667,0.0416666666666667,0.208333333333333,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,not_sig,inhibited
"ATM Signaling",11,X8,"ABL1,ATF1,ATF2,ATM,ATR,BID,BLM,CBX1,CBX3,CBX5,CCNB2,CDC25A,CDK1,CDK2,CREB1,CREB3,CREBBP,GADD45A,GADD45G,HP1BP3,KAT5,MAP2K4,MAPK13,MAPK14,MAPK8,MDM2,MDM4,NBN,PPM1D,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PTPA,RAD17,RAD50,RAD9A,RBBP8,RNF168,SMC2,SMC3,SUV39H1,TLK1,TLK2,TOPBP1,TP53,TRIM28,TRRAP,USP7,ZEB1",51,0.125,0.125,0,0.25,0,0.333333333333333,0.0833333333333333,0.0833333333333333,0,0,0.5,0,0,0.5,0,0,inhibited,no_direction
"Acetate Conversion to Acetyl-CoA",1,X9,"ACSL1,ACSS1",2,0,0,0.0416666666666667,0.458333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Actin Cytoskeleton Signaling",1,X10,"ACTA2,ACTN1,APC,ARHGAP24,ARHGEF6,ARPC1A,DIAPH1,F2R,GNA13,GRB2,GSN,HRAS,ITGA5,ITGAL,ITGB1,ITGB2,KRAS,LBP,MAP2K1,MAP2K2,MYL6,MYLPF,NRAS,PAK1,PIK3C3,PIK3CB,RAF1,RAP2A,RAP2B,RDX,RRAS,SOS1,SSH2,TTN,VAV1",35,0,0,0,0.5,0.0833333333333333,0,0,0.416666666666667,0,0,0,0.5,0.5,0,0,0,activated,not_sig
"Actin Nucleation by ARP-WASP Complex",6,X11,"ARPC1A,BAIAP2,Cdc42,FNBP1,GRB2,HRAS,ITGA4,ITGA5,ITGAL,ITGAV,ITGB1,ITGB2,KRAS,NCK1,NRAS,PPP1R12C,RAC1,RAC2,RAP2A,RAP2B,RHOB,RHOC,RHOF,RHOG,RHOH,RHOQ,RHOT1,RHOV,RND1,RND3,ROCK1,RRAS,RRAS2,SOS1,SOS2,VASP,WAS",37,0.0833333333333333,0.0833333333333333,0,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Activation of IRF by Cytosolic Pattern Recognition Receptors",9,X12,"ADAR,CD40,CHUK,CREBBP,DDX58,IFIH1,IFNAR1,IKBKB,IL6,IRF3,IRF7,IRF9,ISG15,MAP2K4,MAPK8,NFKB1,NFKB2,NFKBIB,NFKBID,RELA,SIKE1,STAT1,STAT2,TBK1,TNF,TRAF3,TRAF6,ZBP1",28,0.125,0,0,0.375,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,activated,activated
"Acute Myeloid Leukemia Signaling",14,X13,"AKT1,AKT2,ARAF,BAD,BRAF,CCND1,CEBPA,CSF2RA,CSF2RB,CSF3R,EIF4EBP1,FLT3LG,GRB2,HRAS,IDH1,IDH2,IDH3B,IDH3G,JUP,KITLG,KRAS,LEF1,MAP2K1,MAP2K2,MAP2K4,MAPK3,MTOR,MYC,NFKB1,NFKB2,NRAS,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PIM1,PIM2,PML,RAF1,RALA,RAP2A,RAP2B,RARA,RASD1,RELA,RPS6KB1,RRAS,RRAS2,RUNX1,SOS1,SOS2,SPI1,STAT5A,STAT5B,TCF3,TCF4,TCF7L2,Tcf7",60,0.166666666666667,0.166666666666667,0.0416666666666667,0.125,0.25,0,0.166666666666667,0.0833333333333333,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Acute Phase Response Signaling",13,X14,"AKT1,AKT2,C1R,C1S,C3,C4A/C4B,CEBPB,CHUK,CP,FN1,FTL,GRB2,HMOX1,HMOX2,HP,HRAS,IKBKB,IL1B,IL1R1,IL1RN,IL36G,IL6,IL6R,IL6ST,IRAK1,JAK2,KRAS,LBP,MAP2K1,MAP2K2,MAP2K4,MAP3K14,MAP3K5,MAPK13,MAPK14,MAPK3,MAPK8,MTOR,MYD88,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,NR3C1,NRAS,OSM,PDPK1,PIK3CB,PIK3CD,PIK3R1,PTPN11,RAF1,RALA,RAP2A,RAP2B,RASD1,RBP4,RBP7,RELA,RRAS,RRAS2,SERPINA3,SERPINE1,SERPINF1,SERPING1,SHC1,SOCS1,SOCS2,SOCS4,SOCS5,SOCS7,SOS1,SOS2,Saa3,TCF3,TCF4,TNF,TNFRSF1A,TNFRSF1B,TRAF2,TRAF6",82,0.0833333333333333,0.25,0,0.166666666666667,0.416666666666667,0,0,0.0833333333333333,0,0.5,0,0,0.5,0,0,0,activated,inhibited
