"Symbol"	"Location"
"ARF1"	"Cytoplasm"
"CALR"	"Cytoplasm"
"CAMP"	"Cytoplasm"
"COPA"	"Cytoplasm"
"CTSG"	"Cytoplasm"
"GMFB"	"Cytoplasm"
"GSTP1"	"Cytoplasm"
"HEBP1"	"Cytoplasm"
"PIK3CB"	"Cytoplasm"
"PTDSS1"	"Cytoplasm"
"PTGS2"	"Cytoplasm"
"RTN4"	"Cytoplasm"
"ADM"	"Extracellular Space"
"AIMP1"	"Extracellular Space"
"APOE"	"Extracellular Space"
"AREG"	"Extracellular Space"
"C3"	"Extracellular Space"
"CCL2"	"Extracellular Space"
"CCL3"	"Extracellular Space"
"CCL4"	"Extracellular Space"
"CCL5"	"Extracellular Space"
"CCL7"	"Extracellular Space"
"CCL8"	"Extracellular Space"
"CCL15"	"Extracellular Space"
"CCL23"	"Extracellular Space"
"CLCF1"	"Extracellular Space"
"CLEC11A"	"Extracellular Space"
"CMTM6"	"Extracellular Space"
"COL18A1"	"Extracellular Space"
"COL1A1"	"Extracellular Space"
"COL4A1"	"Extracellular Space"
"COMP"	"Extracellular Space"
"CSF1"	"Extracellular Space"
"CXCL10"	"Extracellular Space"
"CXCL12"	"Extracellular Space"
"CXCL14"	"Extracellular Space"
"CXCL16"	"Extracellular Space"
"FBN1"	"Extracellular Space"
"FBRS"	"Extracellular Space"
"FN1"	"Extracellular Space"
"GAL"	"Extracellular Space"
"GAS6"	"Extracellular Space"
"GPI"	"Extracellular Space"
"GRN"	"Extracellular Space"
"HBEGF"	"Extracellular Space"
"HDGF"	"Extracellular Space"
"HSPG2"	"Extracellular Space"
"IGF1"	"Extracellular Space"
"IL6"	"Extracellular Space"
"IL1B"	"Extracellular Space"
"IL1RN"	"Extracellular Space"
"INHBA"	"Extracellular Space"
"JAG1"	"Extracellular Space"
"KITLG"	"Extracellular Space"
"LAMB1"	"Extracellular Space"
"LAMB2"	"Extracellular Space"
"LTB"	"Extracellular Space"
"LTF"	"Extracellular Space"
"MDK"	"Extracellular Space"
"MIF"	"Extracellular Space"
"MMP9"	"Extracellular Space"
"MMP13"	"Extracellular Space"
"NAMPT"	"Extracellular Space"
"NENF"	"Extracellular Space"
"NID1"	"Extracellular Space"
"OSM"	"Extracellular Space"
"PDGFA"	"Extracellular Space"
"PLAT"	"Extracellular Space"
"PLAU"	"Extracellular Space"
"PROK2"	"Extracellular Space"
"PROS1"	"Extracellular Space"
"PSAP"	"Extracellular Space"
"PTN"	"Extracellular Space"
"SEMA3C"	"Extracellular Space"
"SERPINE1"	"Extracellular Space"
"SERPINE2"	"Extracellular Space"
"SERPING1"	"Extracellular Space"
"SPP1"	"Extracellular Space"
"TGFB1"	"Extracellular Space"
"THBS1"	"Extracellular Space"
"THBS2"	"Extracellular Space"
"THBS4"	"Extracellular Space"
"TIMP1"	"Extracellular Space"
"TNC"	"Extracellular Space"
"TNF"	"Extracellular Space"
"VEGFA"	"Extracellular Space"
"XCL1"	"Extracellular Space"
"XCL2"	"Extracellular Space"
"NUCB2"	"Nucleus"
"ADAM9"	"Plasma Membrane"
"ADAM15"	"Plasma Membrane"
"ADAM17"	"Plasma Membrane"
"AGRN"	"Plasma Membrane"
"ALCAM"	"Plasma Membrane"
"ANXA1"	"Plasma Membrane"
"APP"	"Plasma Membrane"
"CADM1"	"Plasma Membrane"
"CD2"	"Plasma Membrane"
"CD28"	"Plasma Membrane"
"CD34"	"Plasma Membrane"
"CD86"	"Plasma Membrane"
"CDH5"	"Plasma Membrane"
"CLSTN1"	"Plasma Membrane"
"CRLF2"	"Plasma Membrane"
"DSC3"	"Plasma Membrane"
"EFNB2"	"Plasma Membrane"
"F11R"	"Plasma Membrane"
"FLRT3"	"Plasma Membrane"
"HAS2"	"Plasma Membrane"
"ICAM1"	"Plasma Membrane"
"ICAM2"	"Plasma Membrane"
"ICOSLG"	"Plasma Membrane"
"ITGA4"	"Plasma Membrane"
"ITGAL"	"Plasma Membrane"
"ITGB1"	"Plasma Membrane"
"ITGB2"	"Plasma Membrane"
"LRPAP1"	"Plasma Membrane"
"MPZ"	"Plasma Membrane"
"NCAM1"	"Plasma Membrane"
"PECAM1"	"Plasma Membrane"
"PGLYRP1"	"Plasma Membrane"
"PSEN1"	"Plasma Membrane"
"PTPRF"	"Plasma Membrane"
"PVR"	"Plasma Membrane"
"SELL"	"Plasma Membrane"
"SEMA4D"	"Plasma Membrane"
"VCAM1"	"Plasma Membrane"
