"Gene.name"	"Mouse.gene.name"
"MT-ND4"	"mt-Nd4"
"TINF2"	"Tinf2"
"DNAJB12"	"Dnajb12"
"CENPB"	"Cenpb"
"SETBP1"	"Setbp1"
"PRDM2"	"Prdm2"
"PNPLA2"	"Pnpla2"
"RARRES2"	"Rarres2"
"CD72"	"Cd72"
"SPI1"	"Spi1"
"AHDC1"	"Ahdc1"
"TBC1D14"	"Tbc1d14"
"COA5"	"Coa5"
"PPP2R3A"	"Ppp2r3a"
"MAFB"	"Mafb"
"APOBEC1"	"Apobec1"
"FCHSD2"	"Fchsd2"
"YIPF1"	"Yipf1"
"FAM111A"	"Fam111a"
"KRT79"	"Krt79"
"GSTM3"	"Gstm5"
"ZBTB10"	"Zbtb10"
"PDGFA"	"Pdgfa"
"SREBF2"	"Srebf2"
"AC006030.1"	"Dctn1"
"ATG16L2"	"Atg16l2"
"PROK2"	"Prok2"
"SLC17A9"	"Slc17a9"
"MYO18A"	"Myo18a"
"PAXIP1"	"Paxip1"
"NOTCH2"	"Notch2"
"DARS1"	"Dars"
"PMP22"	"Pmp22"
"BAG4"	"Bag4"
"NFATC2IP"	"Nfatc2ip"
"BASP1"	"Basp1"
"LSM1"	"Lsm1"
"WDR5"	"Wdr5"
"ASH2L"	"Ash2l"
"GBP3"	"Gbp7"
"UNC50"	"Unc50"
"SLC9A7"	"Slc9a7"
"GAS6"	"Gas6"
"ISLR"	"Islr"
"NCOA2"	"Ncoa2"
"ATL2"	"Atl2"
"PPCS"	"Ppcs"
"DCTN1"	"Dctn1"
"PIGT"	"Pigt"
"PTCD3"	"Ptcd3"
"ASPH"	"Asph"
"AC093512.2"	"Aldoa"
"GNG12"	"Gng12"
"LIMA1"	"Lima1"
"CLEC4C"	"Clec4a2"
"CREBBP"	"Crebbp"
"ALDOA"	"Aldoa"
"LAMB1"	"Lamb1"
"GGA2"	"Gga2"
"PDE6H"	"Pde6h"
"SERPINA3"	"Serpina3n"
"HAUS3"	"Haus3"
"FSTL1"	"Fstl1"
"C16orf91"	"BC003965"
"WDR45"	"Wdr45"
"PSAT1"	"Psat1"
"CAND1"	"Cand1"
"ENSA"	"Ensa"
"LDLRAP1"	"Ldlrap1"
"BZW2"	"Bzw2"
"POLR3F"	"Polr3f"
"AKAP11"	"Akap11"
"CAPN1"	"Capn1"
"SPNS1"	"Spns1"
"MYEF2"	"Myef2"
"PMPCA"	"Pmpca"
"ARL5B"	"Arl5b"
"CRIP2"	"Crip2"
"IL6ST"	"Il6st"
"FKBP7"	"Fkbp7"
"CDH5"	"Cdh5"
"PHYH"	"Phyh"
"ZNF367"	"Zfp367"
"NCAM1"	"Ncam1"
"LAT"	"Lat"
"PLEKHA3"	"Plekha3"
"AAMDC"	"Aamdc"
"CBLB"	"Cblb"
"GALE"	"Gale"
"SEC22B"	"Sec22b"
"MICU1"	"Micu1"
"HSPB11"	"Hspb11"
"MGAT4A"	"Mgat4a"
"PI4KA"	"Pi4ka"
"ATP6V1G1"	"Atp6v1g1"
"MRPL50"	"Mrpl50"
"ATXN7"	"Atxn7"
"RUVBL1"	"Ruvbl1"
"COMMD7"	"Commd7"
"IKBIP"	"Ikbip"
"POLR2L"	"Polr2l"
"FO393400.1"	"Commd7"
"CBWD6"	"Cbwd1"
"GOLGA8A"	"Golga2"
"RFTN1"	"Rftn1"
"TMEM87B"	"Tmem87b"
"NRAS"	"Nras"
"PRDX4"	"Prdx4"
"RP2"	"Rp2"
"SHMT2"	"Shmt2"
"MGLL"	"Mgll"
"CBR1"	"Cbr1"
"ZPR1"	"Zpr1"
"IMPDH1"	"Impdh1"
"CRTC2"	"Crtc2"
"H4C6"	"Hist1h4n"
"DYRK2"	"Dyrk2"
"DAD1"	"Dad1"
"TACSTD2"	"Tacstd2"
"ARHGAP29"	"Arhgap29"
"KDM2B"	"Kdm2b"
"TAF6"	"Taf6"
"ATP8B4"	"Atp8b4"
"TSR1"	"Tsr1"
"SMAD1"	"Smad1"
"PRKCE"	"Prkce"
"SPON2"	"Spon2"
"INSIG1"	"Insig1"
"PLXDC2"	"Plxdc2"
"NET1"	"Net1"
"TTN"	"Ttn"
"NDUFA4L2"	"Ndufa4l2"
"TNC"	"Tnc"
"USP6NL"	"Usp6nl"
"LRRC8A"	"Lrrc8a"
"CFAP20"	"Cfap20"
"SPOUT1"	"Spout1"
"CLDND1"	"Cldnd1"
"PON2"	"Pon2"
"CUL1"	"Cul1"
"CNPY4"	"Cnpy4"
"MCM7"	"Mcm7"
"APPL1"	"Appl1"
"PDS5B"	"Pds5b"
"AP3B1"	"Ap3b1"
"RNASE4"	"Rnase4"
"ACSL1"	"Acsl1"
"VPS11"	"Vps11"
"RSRC1"	"Rsrc1"
"GALNT7"	"Galnt7"
"MPHOSPH10"	"Mphosph10"
"CHAC2"	"Chac2"
"GIMAP6"	"Gimap6"
"ZC3H6"	"Zc3h6"
"GBP6"	"Gbp4"
"GAL"	"Gal"
"PANK2"	"Pank2"
"COL5A1"	"Col5a1"
"NIBAN2"	"Fam129b"
"EIF3J"	"Eif3j2"
"GOLGA8B"	"Golga2"
"E2F1"	"E2f1"
"C5orf34"	"4833420G17Rik"
"PARP9"	"Parp9"
"PIAS1"	"Pias1"
"RPN2"	"Rpn2"
"EPAS1"	"Epas1"
"FLRT3"	"Flrt3"
"CTBP2"	"Ctbp2"
"LRRC42"	"Lrrc42"
"SNX10"	"Snx10"
"DTX3L"	"Dtx3l"
"TNFAIP6"	"Tnfaip6"
"LRRC8C"	"Lrrc8c"
"PPAT"	"Ppat"
"PTPN2"	"Ptpn2"
"GIMAP1"	"Gimap1"
"GPR171"	"Gpr171"
"ABCD3"	"Abcd3"
"C1R"	"C1ra"
"SEC24D"	"Sec24d"
"NUDT9"	"Nudt9"
"EFR3A"	"Efr3a"
"ZRANB1"	"Zranb1"
"BLK"	"Blk"
"TLR2"	"Tlr2"
"ASS1"	"Ass1"
"SPRED1"	"Spred1"
"MRPL39"	"Mrpl39"
"KAZALD1"	"Kazald1"
"RHOQ"	"Rhoq"
"RNF111"	"Rnf111"
"RCE1"	"Rce1"
"RNF4"	"Rnf4"
"PDCL3"	"Pdcl3"
"CAPRIN2"	"Caprin2"
"STXBP3"	"Stxbp3"
"PIK3R5"	"Pik3r5"
"MARK3"	"Mark3"
"SRGAP2C"	"Srgap2"
"NUP88"	"Nup88"
"GOLT1B"	"Golt1b"
"EIF2B4"	"Eif2b4"
"RNASE6"	"Rnase6"
"TMEM176B"	"Tmem176b"
"GNAI3"	"Gnai3"
"RPAIN"	"Rpain"
"PAM16"	"Pam16"
"PAM16"	"Gm9803"
"TMEM176A"	"Tmem176a"
"BCOR"	"Bcor"
"LDHB"	"Ldhb"
"SPOPL"	"Spopl"
"KHK"	"Khk"
"AC010197.2"	"Ldhb"
"STUB1"	"Stub1"
"CPT1A"	"Cpt1a"
"REV1"	"Rev1"
"B4GALT3"	"B4galt3"
"SOCS5"	"Socs5"
"ROGDI"	"Rogdi"
"VPS41"	"Vps41"
"NUP50"	"Nup50"
"GPR180"	"Gpr180"
"GABPA"	"Gabpa"
"PPOX"	"Ppox"
"FUBP3"	"Fubp3"
"XYLT1"	"Xylt1"
"SPARCL1"	"Sparcl1"
"PHF11"	"Phf11d"
"RNASE3"	"Rnase2a"
"AL157392.5"	"Prpf18"
"TMEM14C"	"Tmem14c"
"POLR2C"	"Polr2c"
"OSBP"	"Osbp"
"CDC16"	"Cdc16"
"RBCK1"	"Rbck1"
"TNS2"	"Tns2"
"FCN1"	"Fcnb"
"PRPF18"	"Prpf18"
"MIER3"	"Mier3"
"SQLE"	"Sqle"
"OLFM1"	"Olfm1"
"ARHGEF7"	"Arhgef7"
"VKORC1"	"Vkorc1"
"ANGPTL7"	"Angptl7"
"MTOR"	"Mtor"
"TVP23C-CDRT4"	"Tvp23b"
"METTL2B"	"Mettl2"
"PIBF1"	"Pibf1"
"TRIM44"	"Trim44"
"HILPDA"	"Hilpda"
"SPATA5"	"Spata5"
"RPL22L1"	"Rpl22l1"
"DGKA"	"Dgka"
"MDM1"	"Mdm1"
"MITD1"	"Mitd1"
"TRIAP1"	"Triap1"
"COQ9"	"Coq9"
"RNASE2"	"Rnase2a"
"DIAPH2"	"Diaph2"
"DIS3"	"Dis3"
"PLEKHA1"	"Plekha1"
"STX8"	"Stx8"
"HTRA1"	"Htra1"
"HEATR3"	"Heatr3"
"EXOSC2"	"Exosc2"
"RFC3"	"Rfc3"
"MZT1"	"Mzt1"
"ZBTB38"	"Zbtb38"
"TARS1"	"Tars"
"XPOT"	"Xpot"
"LHFPL2"	"Lhfpl2"
"ZNF638"	"Zfp638"
"ABHD16A"	"Abhd16a"
"SNX13"	"Snx13"
"NR4A2"	"Nr4a2"
"SLC7A11"	"Slc7a11"
"USP53"	"Usp53"
"ALDH3B1"	"Aldh3b1"
"LPL"	"Lpl"
"HDC"	"Hdc"
"ZNF655"	"Zfp655"
"RALY"	"Raly"
"TBK1"	"Tbk1"
"SF3B4"	"Sf3b4"
"STRIP1"	"Strip1"
"WASHC4"	"Washc4"
"PSEN1"	"Psen1"
"LRMP"	"Lrmp"
"PAIP1"	"Paip1"
"RFC4"	"Rfc4"
"SEH1L"	"Seh1l"
"RPGRIP1"	"Rpgrip1"
"PTN"	"Ptn"
"DPCD"	"Gm17018"
"CLEC5A"	"Clec5a"
"ZNF326"	"Zfp326"
"BET1L"	"Bet1l"
"PREB"	"Preb"
"HCAR2"	"Hcar2"
"HCAR3"	"Hcar2"
"RPN1"	"Rpn1"
"EZH2"	"Ezh2"
"TSC22D1"	"Tsc22d1"
"RNF220"	"Rnf220"
"SACS"	"Sacs"
"CKS1B"	"Cks1b"
"NPC1"	"Npc1"
"NOC4L"	"Noc4l"
"MCFD2"	"Mcfd2"
"AARS1"	"Aars"
"SIRPB1"	"Sirpa"
"PPFIBP1"	"Ppfibp1"
"AC112128.1"	"Spice1"
"FERMT2"	"Fermt2"
"AL049634.2"	"Sirpa"
"RAB10"	"Rab10"
"AEBP1"	"Aebp1"
"BCL7B"	"Bcl7b"
"ACSL5"	"Acsl5"
"DTD1"	"Dtd1"
"FGR"	"Fgr"
"SPICE1"	"Spice1"
"SMIM26"	"Smim26"
"TAF4"	"Taf4"
"SPP1"	"Spp1"
"RHOF"	"Rhof"
"SMN1"	"Smn1"
"NUFIP1"	"Nufip1"
"IFT74"	"Ift74"
"CTSK"	"Ctsk"
"TSPAN4"	"Tspan4"
"DDX56"	"Ddx56"
"VPS26A"	"Vps26a"
"NOTCH1"	"Notch1"
"AC073610.2"	"Arf3"
"ARF3"	"Arf3"
"PLEKHF2"	"Plekhf2"
"FKBP11"	"Fkbp11"
"TVP23B"	"Tvp23b"
"TRAF6"	"Traf6"
"ADAMTS4"	"Adamts4"
"SNRPB2"	"Snrpb2"
"DCTN5"	"Dctn5"
"SAT1"	"Sat1"
"GPAT3"	"Gpat3"
"NCOR2"	"Ncor2"
"ZC3H14"	"Zc3h14"
"YAE1"	"Yae1d1"
"TBL1Y"	"Tbl1x"
"SMCO4"	"Smco4"
"UBTD1"	"Ubtd1"
"MAPK14"	"Mapk14"
"CYFIP1"	"Cyfip1"
"ABL1"	"Abl1"
"MRPL35"	"Mrpl35"
"GRASP"	"Grasp"
"MAP3K20"	"Map3k20"
"MRPS16"	"Mrps16"
"MORC3"	"Morc3"
"RAE1"	"Rae1"
"ECD"	"Ecd"
"ANTKMT"	"Fam173a"
"PLRG1"	"Plrg1"
"USP19"	"Usp19"
"PCCB"	"Pccb"
"EGFL7"	"Egfl7"
"AC069257.4"	"Tctex1d2"
"PCYT1A"	"Pcyt1a"
"SMOX"	"Smox"
"MEDAG"	"Medag"
"TBC1D5"	"Tbc1d5"
"TNMD"	"Tnmd"
"TPM2"	"Tpm2"
"TBC1D20"	"Tbc1d20"
"TCTEX1D2"	"Tctex1d2"
"ATF1"	"Atf1"
"ZSCAN29"	"Zscan29"
"LARP4B"	"Larp4b"
"EXOSC4"	"Exosc4"
"FEM1B"	"Fem1b"
"TUBGCP4"	"Tubgcp4"
"CHD6"	"Chd6"
"EDRF1"	"Edrf1"
"SLC3A2"	"Slc3a2"
"KPNA3"	"Kpna3"
"STMN2"	"Stmn2"
"SOD3"	"Sod3"
"PRPF8"	"Prpf8"
"TPP1"	"Tpp1"
"NFIB"	"Nfib"
"BIRC3"	"Birc3"
"TPM1"	"Tpm1"
"MED17"	"Med17"
"COLEC12"	"Colec12"
"VPS35"	"Vps35"
"PYGL"	"Pygl"
"SPRYD7"	"Spryd7"
"HIP1"	"Hip1"
"RIF1"	"Rif1"
"AGRN"	"Agrn"
"MRC1"	"Mrc1"
"AGPAT2"	"Agpat2"
"TCIRG1"	"Tcirg1"
"POLD2"	"Pold2"
"MTMR14"	"Mtmr14"
"ADCY7"	"Adcy7"
"NFRKB"	"Nfrkb"
"FCER1G"	"Fcer1g"
"EXOC5"	"Exoc5"
"MAPK13"	"Mapk13"
"TMEM71"	"Tmem71"
"FOXO4"	"Foxo4"
"KLC1"	"Klc1"
"CCNB2"	"Ccnb2"
"PIK3CB"	"Pik3cb"
"SIRPG"	"Sirpa"
"CNN3"	"Cnn3"
"SRGAP2B"	"Srgap2"
"CACUL1"	"Cacul1"
"GDI2"	"Gdi2"
"BRD7"	"Brd7"
"RBM6"	"Rbm6"
"ANXA4"	"Anxa4"
"BIRC2"	"Birc2"
"SRSF7"	"Srsf7"
"AL359736.1"	"Spata13"
"HTATIP2"	"Htatip2"
"PRKAG1"	"Prkag1"
"SPATA13"	"Spata13"
"DPF2"	"Dpf2"
"CENPK"	"Cenpk"
"AP001273.2"	"Med17"
"PDIA4"	"Pdia4"
"TMEM106B"	"Tmem106b"
"RELL1"	"Rell1"
"HMBS"	"Hmbs"
"TMED4"	"Tmed4"
"EDEM2"	"Edem2"
"CDKAL1"	"Cdkal1"
"MLLT3"	"Mllt3"
"GPAA1"	"Gpaa1"
"CHCHD5"	"Chchd5"
"PROCR"	"Procr"
"EIF2S3"	"Eif2s3x"
"MANBAL"	"Manbal"
"DNAJB4"	"Dnajb4"
"TPPP3"	"Tppp3"
"IMPA2"	"Impa2"
"SOX4"	"Sox4"
"PRPS1"	"Prps1"
"FBLN1"	"Fbln1"
"MLLT10"	"Mllt10"
"PMAIP1"	"Pmaip1"
"SUN2"	"Sun2"
"PI4K2B"	"Pi4k2b"
"SRPX2"	"Srpx2"
"PRNP"	"Prnp"
"PNPLA8"	"Pnpla8"
"FIBP"	"Fibp"
"HIP1R"	"Hip1r"
"KLF5"	"Klf5"
"USF3"	"Usf3"
"HOOK1"	"Hook1"
"HCLS1"	"Hcls1"
"SETD1B"	"Setd1b"
"SIRPA"	"Sirpa"
"LIAS"	"Lias"
"NUDT5"	"Nudt5"
"SNX17"	"Snx17"
"TMEM123"	"Tmem123"
"PSMA7"	"Psma7"
"ATRAID"	"Atraid"
"ARNT"	"Arnt"
"RIPK3"	"Ripk3"
"ST3GAL6"	"St3gal6"
"MEF2D"	"Mef2d"
"NOCT"	"Noct"
"CSTF2"	"Cstf2"
"ABR"	"Abr"
"CALU"	"Calu"
"LAMB2"	"Lamb2"
"MRPS22"	"Mrps22"
"NIPSNAP3A"	"Nipsnap3b"
"GTF2H2"	"Gtf2h2"
